p_game,p_strikeout,batting_avg,slg_percent,on_base_percent,p_era,winning?
78,37,0.233,0.395,0.262,3.92,Yes
47,37,0.257,0.395,0.319,3.09,Yes
47,76,0.2,0.371,0.287,4.4,Yes
61,60,0.246,0.322,0.34,3.4,Yes
80,55,0.243,0.328,0.282,2.22,Yes
48,50,0.174,0.286,0.258,2.86,Yes
49,52,0.241,0.408,0.315,3.13,Yes
60,102,0.127,0.193,0.228,1.23,Yes
50,51,0.254,0.362,0.35,4.12,Yes
51,47,0.227,0.341,0.325,4.56,Yes
52,46,0.243,0.397,0.341,4.83,Yes
53,62,0.218,0.358,0.286,4.11,Yes
