@relation ML_Quarter_1_Labeled_SelfSelected-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V

@attribute p_k_percent numeric
@attribute p_bb_percent numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute on_base_percent numeric
@attribute hard_hit_percent numeric
@attribute winning? {No,Yes}

@data
21.6,8.5,0.237,0.41,0.313,36.7,Yes
28.9,7.5,0.232,0.401,0.293,39.2,Yes
25.7,12,0.189,0.329,0.293,42.2,Yes
16.6,6.1,0.26,0.527,0.314,43,Yes
24.4,9,0.245,0.42,0.32,38.2,Yes
23.2,7.3,0.238,0.422,0.299,40.4,Yes
22.3,8.4,0.225,0.4,0.294,39.4,Yes
22.2,7.7,0.287,0.462,0.343,37.9,Yes
16.7,13,0.294,0.552,0.391,49.6,Yes
27.2,14.2,0.202,0.369,0.314,35,Yes
24,7.1,0.254,0.48,0.316,38.7,Yes
28.7,8.1,0.207,0.35,0.287,34,Yes
28.4,8.9,0.207,0.319,0.276,39.8,Yes
27.9,14.7,0.234,0.351,0.363,35.5,Yes
23.5,6.4,0.244,0.407,0.294,44.1,Yes
19,11.6,0.2,0.324,0.306,52.4,Yes
28.8,18,0.144,0.231,0.345,42.4,Yes
26.4,9.1,0.241,0.408,0.315,36.8,Yes
37.8,9,0.206,0.357,0.284,41.4,Yes
26.5,9.8,0.234,0.417,0.313,40.4,Yes
29.7,9.2,0.223,0.328,0.297,36.8,Yes
19.5,12.2,0.206,0.411,0.301,39.3,Yes
21.9,10.9,0.237,0.331,0.328,23.3,Yes
25.9,7.4,0.245,0.476,0.306,45.1,Yes
26.7,9.9,0.206,0.284,0.295,34.8,Yes
20.2,10.1,0.293,0.485,0.375,43.5,Yes
25.9,11.1,0.237,0.505,0.324,40.3,Yes
20.2,14,0.189,0.368,0.316,43.8,Yes
33.6,9.9,0.181,0.31,0.265,33.8,Yes
30.9,12.5,0.214,0.375,0.315,42.3,Yes
35.2,7.8,0.216,0.444,0.274,36.3,Yes
23.8,8.1,0.204,0.307,0.267,50.2,Yes
20.1,11.3,0.256,0.372,0.34,34.6,Yes
20.7,6.2,0.233,0.33,0.295,39.4,Yes
28.7,11,0.246,0.322,0.34,44.7,Yes
18.7,7.6,0.296,0.422,0.36,34.2,Yes
25.3,6.7,0.196,0.38,0.253,40.3,Yes
36.2,7.9,0.176,0.319,0.241,46.8,Yes
18.7,14.5,0.233,0.368,0.35,38.5,Yes
28.2,9.7,0.237,0.399,0.313,38.3,Yes
21.1,12.8,0.229,0.34,0.332,36.6,Yes
29.7,8.9,0.176,0.275,0.248,27.4,Yes
39,9.2,0.2,0.371,0.287,35.1,Yes
22.2,8.7,0.232,0.393,0.303,40.5,Yes
24.5,9.3,0.202,0.346,0.296,36.5,Yes
27.5,9,0.18,0.253,0.284,35.3,Yes
21.7,6.4,0.214,0.333,0.273,38,Yes
25.5,9.8,0.233,0.367,0.309,36.9,Yes
23.8,11.3,0.266,0.467,0.347,41.3,Yes
19.2,9.4,0.29,0.491,0.356,42.9,Yes
19.6,7.6,0.234,0.373,0.3,34.5,Yes
26.2,13.7,0.227,0.429,0.339,42.8,Yes
22.7,14.1,0.25,0.435,0.352,53.1,Yes
33.1,8.1,0.229,0.373,0.299,43.6,Yes
21.6,11.2,0.243,0.313,0.351,36,Yes
27.1,18.7,0.213,0.325,0.382,43.3,Yes
26.6,9.4,0.233,0.413,0.31,43,Yes
27.7,10.4,0.291,0.534,0.376,40.8,Yes
24.8,9.7,0.192,0.397,0.279,40.6,Yes
26.8,12.5,0.234,0.383,0.327,41.7,Yes
27.3,10.2,0.183,0.294,0.273,45.4,Yes
35.2,15.2,0.158,0.267,0.312,41.4,Yes
24.4,5.7,0.215,0.281,0.265,24.1,Yes
15.7,4.8,0.287,0.421,0.327,42.7,Yes
22.4,9,0.281,0.414,0.358,37.6,Yes
45.5,10.7,0.127,0.193,0.228,30.2,Yes
15.6,12.1,0.202,0.37,0.305,32,Yes
25.6,7.9,0.194,0.255,0.266,30.9,Yes
22.9,11.6,0.241,0.456,0.342,45,Yes
21.6,9.2,0.279,0.441,0.346,29.5,Yes
37.7,4.4,0.207,0.367,0.242,33.8,Yes
30,5,0.168,0.347,0.21,30.8,Yes
33.5,13.7,0.126,0.296,0.255,34.9,Yes
28.5,9.2,0.197,0.35,0.28,39.7,Yes
23.7,11.9,0.288,0.503,0.373,36.3,Yes
17.7,9.3,0.263,0.469,0.333,38.7,Yes
21.5,12.1,0.269,0.462,0.355,29.6,Yes
22.3,8.4,0.275,0.427,0.344,43.5,Yes
23,7.5,0.274,0.478,0.333,44.5,Yes
27.6,6.7,0.211,0.366,0.276,36,Yes
27.1,16.7,0.206,0.388,0.367,33.6,Yes
19.6,10.4,0.297,0.457,0.374,45,Yes
23.1,8.8,0.223,0.424,0.295,35.7,Yes
27.1,5.7,0.206,0.309,0.262,32.6,Yes
