p_game,p_total_hits,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,p_earned_run,p_era,p_rbi,p_called_strike,p_unearned_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,meatball_percent,pitch_hand,n_fastball_formatted,fastball_avg_speed,winning?
29,35,5,33,7,23.7,5,0.267,0.443,0.302,14,3.67,16,72,3,90,10.4,34.3,7.1,39.4,9.3,L,33.3,90.4,Yes
31,141,19,152,42,22.5,6.2,0.225,0.358,0.274,59,3.17,56,423,2,88.9,11.6,32.7,8.1,38.8,8.5,R,45.7,94,No
32,182,15,195,35,25.5,4.6,0.253,0.402,0.293,76,3.75,71,508,5,88,12.8,37,6.3,36.4,8.2,R,54.8,95.9,No
26,115,19,155,50,27,8.7,0.225,0.385,0.301,63,4.19,64,435,4,86.6,8.8,31.6,4.7,32.1,6.7,R,58.5,91.6,No
68,56,9,61,26,21.9,9.4,0.235,0.408,0.317,28,3.9,39,218,11,88.2,14.4,36.2,8.6,37.3,7.6,L,57.4,93,No
32,200,31,131,44,16.7,5.6,0.278,0.481,0.327,96,4.77,88,523,5,86.3,11.1,37.4,8.4,33,6.7,R,60.5,87.3,No
54,40,8,75,16,35.7,7.6,0.211,0.405,0.267,19,3.31,25,108,3,90.5,19.9,38.7,13.4,43.7,9.4,R,68.7,97,Yes
32,194,38,146,56,19,7.3,0.278,0.499,0.334,103,5.15,99,468,1,89.9,15.3,35.5,9.1,41.6,7.2,R,51.2,92.4,No
68,55,10,83,24,31.2,9,0.227,0.401,0.297,25,3.59,24,159,4,88.6,17.4,30.8,7.5,34,7.5,R,60.3,96.5,Yes
37,48,3,74,12,30,4.9,0.207,0.289,0.251,11,1.55,14,193,4,86.7,15.6,30.8,2.5,29.6,7.3,R,43.9,88.3,Yes
10,32,4,20,13,16.3,10.6,0.302,0.5,0.382,13,4.39,13,76,0,89,14.9,43.2,4.5,40.9,6.6,L,69.6,87.8,No
24,97,16,91,34,20.6,7.7,0.243,0.429,0.304,49,4.21,48,263,2,89.7,17.2,31.3,9.3,39.3,6.8,R,65.5,91.3,No
81,69,10,71,38,21.3,11.4,0.235,0.388,0.323,30,3.49,38,189,3,88.8,8.4,36.2,7.1,38.4,8,R,79.3,92.9,No
65,57,10,72,27,27.5,10.3,0.248,0.435,0.328,26,3.94,35,169,5,88.1,4.9,30.6,6.3,39.4,7.8,R,73.5,96.6,Yes
17,71,19,137,37,31.7,8.6,0.182,0.374,0.257,31,2.59,33,317,5,89.9,19.1,33.7,10.2,41.3,8.3,R,67.6,91.2,Yes
27,21,2,32,9,23.9,6.7,0.175,0.25,0.246,9,2.31,8,72,1,87.4,24.6,22.2,10,27.8,6.2,R,52.4,93.7,Yes
7,25,7,32,16,24.2,12.1,0.216,0.457,0.311,17,4.99,17,90,0,91.5,18.8,33.3,14.3,42.9,8.6,R,48.8,93.6,No
27,26,2,21,14,16.8,11.2,0.241,0.343,0.328,18,5.59,14,73,0,88.8,10.5,30.3,3.4,44.2,7.9,R,65.7,94.5,No
27,98,12,80,39,17.7,8.6,0.242,0.373,0.312,41,3.46,41,314,5,88,9.2,32.5,7,35.9,7.3,L,41.8,89.1,No
31,170,24,143,37,20.4,5.3,0.258,0.435,0.298,82,4.37,78,507,3,89.6,9.8,33.7,8.5,41.6,5.7,L,61.5,88.4,Yes
61,36,9,97,38,39.9,15.6,0.182,0.359,0.317,21,3.36,21,166,2,88,12.1,38.1,16.2,40,7.3,L,62.3,98.5,Yes
58,43,6,65,16,31.7,7.8,0.232,0.362,0.302,26,4.78,35,138,4,83,10.3,39.7,8.3,21.5,6.5,L,55.1,89,No
24,99,23,94,30,21.8,7,0.251,0.489,0.304,54,4.8,51,276,1,90,17.2,33.4,10.2,40.3,8.2,R,50.9,91.9,No
57,55,7,77,15,27.3,5.3,0.21,0.332,0.259,15,1.88,32,153,6,88.9,5,29.9,7.5,37.4,6.1,R,54.6,95.2,Yes
62,49,8,60,18,25.3,7.6,0.23,0.408,0.287,27,4.21,29,157,6,89.4,15.2,35.4,8.2,37.2,8.4,R,45.1,95.9,No
