@relation ML_Quarter_1_Labeled_WrapperSubsetEval-Train

@attribute p_home_run numeric
@attribute p_strikeout numeric
@attribute p_walk numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute p_era numeric
@attribute winning? {No,Yes}

@data
5,52,18,0.241,0.408,3.13,Yes
8,84,20,0.206,0.357,3.79,Yes
24,175,65,0.234,0.417,4.53,Yes
4,91,28,0.223,0.328,2.42,Yes
6,24,15,0.206,0.411,4.5,Yes
2,30,15,0.237,0.331,3.52,Yes
35,164,47,0.245,0.476,4.34,Yes
5,78,29,0.206,0.284,3.6,Yes
21,112,56,0.293,0.485,6.07,Yes
6,28,12,0.237,0.505,4.26,Yes
3,23,16,0.189,0.368,4.28,Yes
7,85,25,0.181,0.31,2.14,Yes
16,170,69,0.214,0.375,4.2,Yes
9,63,14,0.216,0.444,3.43,Yes
5,73,25,0.204,0.307,2.84,Yes
4,39,22,0.256,0.372,4.33,Yes
3,40,12,0.233,0.33,3.52,Yes
2,60,23,0.246,0.322,3.4,Yes
4,42,17,0.296,0.422,6.39,Yes
9,68,18,0.196,0.38,2.62,Yes
10,123,27,0.176,0.319,2.66,Yes
10,92,71,0.233,0.368,4.09,Yes
6,55,19,0.237,0.399,3.5,Yes
6,63,38,0.229,0.34,3.42,Yes
2,30,9,0.176,0.275,2.45,Yes
6,76,18,0.2,0.371,4.4,Yes
12,74,29,0.232,0.393,4.31,Yes
5,53,20,0.202,0.346,2.52,Yes
3,61,20,0.18,0.253,1.77,Yes
5,58,17,0.214,0.333,2,Yes
9,86,33,0.233,0.367,3.63,Yes
10,59,28,0.266,0.467,5.34,Yes
17,82,40,0.29,0.491,6.63,Yes
16,121,47,0.234,0.373,2.89,Yes
9,61,32,0.227,0.429,3.06,Yes
5,29,18,0.25,0.435,4.71,Yes
11,134,33,0.229,0.373,3.17,Yes
0,29,15,0.243,0.313,3.64,Yes
5,68,47,0.213,0.325,4.2,Yes
19,139,49,0.233,0.413,4.3,Yes
8,48,18,0.291,0.534,6.37,Yes
7,41,16,0.192,0.397,2.4,Yes
7,69,32,0.234,0.383,3.97,Yes
6,72,27,0.183,0.294,2.88,Yes
3,44,19,0.158,0.267,2.7,Yes
3,69,16,0.215,0.281,2.17,Yes
12,105,32,0.287,0.421,4.42,Yes
14,131,53,0.281,0.414,4.91,Yes
3,102,24,0.127,0.193,1.23,Yes
4,22,17,0.202,0.37,4.19,Yes
4,107,33,0.194,0.255,1.36,Yes
14,73,37,0.241,0.456,4.35,Yes
4,33,14,0.279,0.441,4.19,Yes
11,103,12,0.207,0.367,2.57,Yes
